year,month,stop_name,lowbound_tot_ons,highbound_tot_ons,lowbound_avg_daily_ons,highbound_avg_daily_ons
2023,6,Magoun Square,6700,19000,300,700
2023,6,Medford/Tufts,13100,18200,500,700
2023,6,North Station,117900,117900,4500,4500
2023,6,Science Park/West End,15600,15600,600,600
2023,6,Union Square,34500,103600,1300,4000
2023,7,Ball Square,12300,23800,400,800
2023,7,East Somerville,3300,7400,100,200
2023,7,Gilman Square,24500,48900,800,1600
2023,7,Government Center,140400,140400,4700,4700
2023,7,Haymarket,108600,108600,3600,3600
2023,7,Lechmere,38500,65000,1200,2100
2023,7,Magoun Square,10400,29400,300,900
2023,7,Medford/Tufts,25200,35000,800,1100
2023,7,North Station,174100,174100,5600,5600
2023,7,Science Park/West End,29300,29300,900,900
2023,7,Union Square,21400,64300,700,2100
2023,8,Ball Square,11800,22900,400,700
2023,8,East Somerville,3200,7000,100,200
2023,8,Gilman Square,24700,49400,800,1600
2023,8,Government Center,175800,175800,5700,5700
2023,8,Haymarket,86600,86600,2800,2800
2023,8,Lechmere,33500,56500,1100,1800
2023,8,Magoun Square,8300,23400,300,800
2023,8,Medford/Tufts,39700,55100,1300,1800
2023,8,North Station,171400,171400,5500,5500
2023,8,Science Park/West End,26100,26100,800,800
2023,8,Union Square,16000,48000,500,1500
2023,9,Ball Square,11200,21700,400,700
2023,9,East Somerville,3600,8000,100,300
2023,9,Gilman Square,20900,41800,700,1400
2023,9,Government Center,440200,440200,14700,14700
2023,9,Haymarket,71800,71800,3000,3000
2023,9,Lechmere,18100,30600,600,1000
2023,9,Magoun Square,7900,22300,300,700
2023,9,Medford/Tufts,33800,46900,1100,1600
2023,9,North Station,129300,129300,4300,4300
2023,9,Science Park/West End,16700,16700,600,600
2023,9,Union Square,8800,26400,400,1100
2023,10,Ball Square,11500,22300,400,700
2023,10,East Somerville,4300,9600,100,300
2023,10,Gilman Square,19800,39600,600,1300
2023,10,Government Center,428900,428900,13800,13800
2023,10,Haymarket,65700,65700,2500,2500
2023,10,Lechmere,21200,35800,700,1200
2023,10,Magoun Square,8700,24800,300,800
2023,10,Medford/Tufts,37900,52700,1200,1700
2023,10,North Station,145900,145900,4700,4700
2023,10,Science Park/West End,18700,18700,600,600
2023,10,Union Square,11300,34000,400,1300
2023,11,Ball Square,10300,19900,300,700
2023,11,East Somerville,3700,8100,100,300
2023,11,Gilman Square,21600,43300,700,1400
2023,11,Government Center,366400,366400,12200,12200
2023,11,Haymarket,98900,98900,3300,3300
2023,11,Lechmere,24100,40700,800,1400
2023,11,Magoun Square,8200,23100,300,800
2023,11,Medford/Tufts,33200,46100,1100,1500
2023,11,North Station,172300,172300,5700,5700
2023,11,Science Park/West End,19600,19600,700,700
2023,11,Union Square,15700,47200,500,1600
2023,12,Ball Square,8600,16800,300,500
2023,12,East Somerville,2400,5200,100,200
2023,12,Gilman Square,17500,35100,600,1100
2023,12,Government Center,325300,325300,10500,10500
2023,12,Haymarket,35300,35300,1100,1100
2023,12,Lechmere,17700,29900,600,1000
2023,12,Magoun Square,6000,16900,200,500
2023,12,Medford/Tufts,20500,28500,700,900
2023,12,North Station,146400,146400,4700,4700
2023,12,Science Park/West End,19100,19100,600,600
2023,12,Union Square,8000,23900,300,800
2024,1,Ball Square,5400,10500,200,400
2024,1,East Somerville,1800,4000,100,100
2024,1,Gilman Square,13800,27600,500,900
2024,1,Government Center,86300,86300,3800,3800
2024,1,Haymarket,24000,24000,800,800
2024,1,Lechmere,10900,18500,400,600
2024,1,Magoun Square,4300,12300,100,400
2024,1,Medford/Tufts,15500,21500,500,700
2024,1,North Station,73400,73400,2400,2400
2024,1,Science Park/West End,10900,10900,400,400
2024,1,Union Square,8500,25400,300,800
2024,2,Ball Square,12000,23400,400,800
2024,2,East Somerville,3000,6800,100,200
2024,2,Gilman Square,17000,34000,600,1200
2024,2,Government Center,298900,298900,10300,10300
2024,2,Haymarket,86700,86700,3000,3000
2024,2,Lechmere,28400,47900,1000,1700
2024,2,Magoun Square,7400,20900,300,700
2024,2,Medford/Tufts,29800,41400,1000,1400
2024,2,North Station,173700,173700,6000,6000
2024,2,Science Park/West End,22400,22400,800,800
2024,2,Union Square,8500,25400,300,900
2024,3,Ball Square,10800,21000,400,700
2024,3,East Somerville,3600,8000,100,300
2024,3,Gilman Square,26600,53200,900,1800
2024,3,Government Center,373700,373700,12100,12100
2024,3,Haymarket,108500,108500,3500,3500
2024,3,Lechmere,29600,50000,1000,1700
2024,3,Magoun Square,8300,23400,300,800
2024,3,Medford/Tufts,45300,62900,1500,2100
2024,3,North Station,231900,231900,7500,7500
2024,3,Science Park/West End,25200,25200,800,800
2024,3,Union Square,11300,33900,400,1100
2024,4,Ball Square,11500,22200,400,700
2024,4,East Somerville,3000,6700,100,200
2024,4,Gilman Square,33700,67400,1100,2200
2024,4,Government Center,411600,411600,13700,13700
2024,4,Haymarket,126400,126400,4200,4200
2024,4,Lechmere,33500,56500,1100,1900
2024,4,Magoun Square,9100,25800,300,900
2024,4,Medford/Tufts,36800,51100,1200,1700
2024,4,North Station,227100,227100,7600,7600
2024,4,Science Park/West End,28100,28100,900,900
2024,4,Union Square,12500,37500,400,1300
2024,5,Ball Square,12000,23300,400,800
2024,5,East Somerville,3400,7600,100,200
2024,5,Gilman Square,41600,83200,1300,2700
2024,5,Government Center,475500,475500,15300,15300
2024,5,Haymarket,156100,156100,5000,5000
2024,5,Lechmere,36900,62200,1200,2000
2024,5,Magoun Square,8400,23800,300,800
2024,5,Medford/Tufts,38100,52900,1200,1700
2024,5,North Station,197800,197800,6400,6400
2024,5,Science Park/West End,26400,26400,900,900
2024,5,Union Square,13400,40100,400,1300
2024,6,Ball Square,10600,20600,400,700
2024,6,East Somerville,4300,9500,100,300
2024,6,Gilman Square,32300,64600,1100,2200
2024,6,Government Center,510500,510500,17000,17000
2024,6,Haymarket,142600,142600,4800,4800
2024,6,Lechmere,33500,56600,1100,1900
2024,6,Magoun Square,8000,22800,300,800
2024,6,Medford/Tufts,29300,40600,1000,1400
2024,6,North Station,155800,155800,5200,5200
2024,6,Science Park/West End,33200,33200,1100,1100
2024,6,Union Square,12900,38600,400,1300
2024,7,Ball Square,9800,19100,300,600
2024,7,East Somerville,3000,6600,100,200
2024,7,Gilman Square,25900,51700,900,1700
2024,7,Government Center,115400,115400,3700,3700
2024,7,Haymarket,133100,133100,4300,4300
2024,7,Lechmere,32700,55100,1100,1800
2024,7,Magoun Square,9400,26700,300,900
2024,7,Medford/Tufts,27900,38700,900,1300
2024,7,North Station,198600,198600,6400,6400
2024,7,Science Park/West End,35300,35300,1100,1100
2024,7,Union Square,11600,34800,400,1200
2024,8,Ball Square,11300,21900,400,700
2024,8,East Somerville,3500,7800,100,300
2024,8,Gilman Square,30700,61300,1000,2000
2024,8,Government Center,444200,444200,14300,14300
2024,8,Haymarket,111900,111900,3600,3600
2024,8,Lechmere,35500,60000,1100,1900
2024,8,Magoun Square,8600,24300,300,800
2024,8,Medford/Tufts,28800,39900,900,1300
2024,8,North Station,201900,201900,6500,6500
2024,8,Science Park/West End,37000,37000,1200,1200
2024,8,Union Square,11900,35600,400,1100
2024,9,Ball Square,11700,22800,400,800
2024,9,East Somerville,4100,9000,100,300
2024,9,Gilman Square,32200,64400,1100,2100
2024,9,Government Center,474800,474800,15800,15800
2024,9,Haymarket,131800,131800,4400,4400
2024,9,Lechmere,36100,60900,1200,2000
2024,9,Magoun Square,7500,21400,300,700
2024,9,Medford/Tufts,38200,53000,1300,1800
2024,9,North Station,223600,223600,7500,7500
2024,9,Science Park/West End,27600,27600,900,900
2024,9,Union Square,12700,38200,400,1300
2024,10,Ball Square,20300,39300,700,1300
2024,10,East Somerville,9600,21300,300,700
2024,10,Gilman Square,49300,98600,1600,3200
2024,10,Government Center,529300,529300,17100,17100
2024,10,Haymarket,145900,145900,4700,4700
2024,10,Lechmere,42700,72100,1400,2300
2024,10,Magoun Square,15800,44700,500,1400
2024,10,Medford/Tufts,51200,71100,1700,2300
2024,10,North Station,304000,304000,9800,9800
2024,10,Science Park/West End,25200,25200,800,800
2024,10,Union Square,5400,16100,200,500
2024,11,Ball Square,24500,47500,800,1600
2024,11,East Somerville,10400,23000,300,800
2024,11,Gilman Square,41400,82800,1400,2800
2024,11,Government Center,385800,385800,12900,12900
2024,11,Haymarket,86100,86100,2900,2900
2024,11,Lechmere,46900,79100,1600,2600
2024,11,Magoun Square,19000,53900,600,1800
2024,11,Medford/Tufts,60300,83800,2000,2800
2024,11,North Station,173000,173000,5800,5800
2024,11,Science Park/West End,21300,21300,700,700
2024,11,Union Square,1300,3800,100,200
2024,12,Ball Square,5900,11400,200,400
2024,12,East Somerville,2400,5300,100,200
2024,12,Gilman Square,14000,28100,500,1000
2024,12,Government Center,195200,195200,7000,7000
2024,12,Haymarket,43100,43100,1500,1500
2024,12,Lechmere,15700,26500,600,900
2024,12,Magoun Square,5200,14700,200,500
2024,12,Medford/Tufts,11400,15900,400,600
2024,12,North Station,95000,95000,3400,3400
2024,12,Science Park/West End,11700,11700,400,400
2024,12,Union Square,4300,12900,200,600
2025,1,Ball Square,13800,26900,400,900
2025,1,East Somerville,4800,10600,200,300
2025,1,Gilman Square,28000,56100,900,1800
2025,1,Government Center,393300,393300,12700,12700
2025,1,Haymarket,103300,103300,3300,3300
2025,1,Lechmere,31100,52500,1000,1700
2025,1,Magoun Square,10400,29500,300,1000
2025,1,Medford/Tufts,28000,38800,900,1300
2025,1,North Station,198300,198300,6400,6400
2025,1,Science Park/West End,22300,22300,700,700
2025,1,Union Square,11800,35500,400,1100
2025,2,Ball Square,10300,20000,400,700
2025,2,East Somerville,3700,8100,100,300
2025,2,Gilman Square,20600,41100,700,1500
2025,2,Government Center,356200,356200,12700,12700
2025,2,Haymarket,101100,101100,3600,3600
2025,2,Lechmere,26300,44400,900,1600
2025,2,Magoun Square,7900,22500,300,800
2025,2,Medford/Tufts,28000,38900,1000,1400
2025,2,North Station,196300,196300,7000,7000
2025,2,Science Park/West End,20400,20400,700,700
2025,2,Union Square,10000,30100,400,1100
2025,3,Ball Square,11700,22700,400,700
2025,3,East Somerville,4400,9800,100,300
2025,3,Gilman Square,26400,52800,900,1700
2025,3,Government Center,427700,427700,13800,13800
2025,3,Haymarket,117900,117900,3800,3800
2025,3,Lechmere,30800,51900,1000,1700
2025,3,Magoun Square,9100,25700,300,800
2025,3,Medford/Tufts,30500,42400,1000,1400
2025,3,North Station,224700,224700,7200,7200
2025,3,Science Park/West End,25500,25500,800,800
2025,3,Union Square,13000,39100,400,1300
2025,4,Ball Square,13500,26100,400,900
2025,4,East Somerville,4400,9800,100,300
2025,4,Gilman Square,31200,62400,1000,2100
2025,4,Government Center,463900,463900,15500,15500
2025,4,Haymarket,120100,120100,4000,4000
2025,4,Lechmere,35600,60100,1200,2000
2025,4,Magoun Square,9400,26600,300,900
2025,4,Medford/Tufts,34700,48200,1200,1600
2025,4,North Station,237900,237900,7900,7900
2025,4,Science Park/West End,28700,28700,1000,1000
2025,4,Union Square,14400,43100,500,1400
2025,5,Ball Square,13200,25700,400,900
2025,5,East Somerville,5600,12500,200,400
2025,5,Gilman Square,29800,59500,1000,2000
2025,5,Government Center,458000,458000,14800,14800
2025,5,Haymarket,156300,156300,5000,5000
2025,5,Lechmere,38000,64100,1300,2100
2025,5,Magoun Square,9500,26900,300,900
2025,5,Medford/Tufts,29500,41000,1000,1400
2025,5,North Station,262600,262600,8500,8500
2025,5,Science Park/West End,25900,25900,800,800
2025,5,Union Square,14000,42000,500,1400
2025,6,Ball Square,10200,19700,400,700
2025,6,East Somerville,4000,8900,100,300
2025,6,Gilman Square,20000,39900,700,1400
2025,6,Government Center,273800,273800,9100,9100
2025,6,Haymarket,89600,89600,3000,3000
2025,6,Lechmere,23900,40400,900,1400
2025,6,Magoun Square,7600,21400,300,800
2025,6,Medford/Tufts,21000,29100,700,1000
2025,6,North Station,156500,156500,5200,5200
2025,6,Science Park/West End,19800,19800,700,700
2025,6,Union Square,7000,20900,200,700
2025,7,Ball Square,8100,15700,300,500
2025,7,East Somerville,2800,6200,100,200
2025,7,Gilman Square,18200,36400,600,1200
2025,7,Government Center,262300,262300,8500,8500
2025,7,Haymarket,66200,66200,2100,2100
2025,7,Lechmere,20000,33700,600,1100
2025,7,Magoun Square,6900,19600,200,600
2025,7,Medford/Tufts,13300,18500,400,600
2025,7,North Station,117700,117700,3800,3800
2025,7,Science Park/West End,17800,17800,600,600
2025,7,Union Square,5600,16800,200,500
2025,8,Ball Square,10900,21100,400,700
2025,8,East Somerville,4000,9000,100,300
2025,8,Gilman Square,21700,43500,700,1400
2025,8,Government Center,323200,323200,10400,10400
2025,8,Haymarket,103700,103700,3300,3300
2025,8,Lechmere,26300,44400,800,1400
2025,8,Magoun Square,8600,24300,300,800
2025,8,Medford/Tufts,19200,26700,600,900
2025,8,North Station,133400,133400,4300,4300
2025,8,Science Park/West End,22700,22700,700,700
2025,8,Union Square,7500,22400,200,700
2025,9,Ball Square,15000,29100,500,1000
2025,9,East Somerville,5700,12700,200,400
2025,9,Gilman Square,30100,60200,1000,2000
2025,9,Government Center,380000,380000,12700,12700
2025,9,Haymarket,96500,96500,3200,3200
2025,9,Lechmere,30400,51400,1000,1700
2025,9,Magoun Square,9900,28100,300,900
2025,9,Medford/Tufts,35900,49800,1200,1700
2025,9,North Station,180500,180500,6000,6000
2025,9,Science Park/West End,18400,18400,600,600
2025,9,Union Square,9700,29100,300,1000
2025,10,Ball Square,14400,28000,500,900
2025,10,East Somerville,5800,13000,200,400
2025,10,Gilman Square,32400,64700,1000,2100
2025,10,Government Center,432700,432700,14000,14000
2025,10,Haymarket,110900,110900,3600,3600
2025,10,Lechmere,36800,62000,1200,2000
2025,10,Magoun Square,11500,32500,400,1000
2025,10,Medford/Tufts,32300,44800,1000,1400
2025,10,North Station,223700,223700,7200,7200
2025,10,Science Park/West End,21000,21000,700,700
2025,10,Union Square,10300,31000,300,1000
2025,11,Ball Square,6600,12800,200,400
2025,11,East Somerville,2800,6200,100,200
2025,11,Gilman Square,14800,29600,500,1000
2025,11,Government Center,265900,265900,8900,8900
2025,11,Haymarket,68100,68100,2300,2300
2025,11,Lechmere,19900,33600,700,1100
2025,11,Magoun Square,6000,16900,200,600
2025,11,Medford/Tufts,12000,16700,400,600
2025,11,North Station,141300,141300,4700,4700
2025,11,Science Park/West End,13800,13800,500,500
2025,11,Union Square,7500,22400,200,700
2025,12,Ball Square,8100,15700,300,600
2025,12,East Somerville,3100,6800,100,300
2025,12,Gilman Square,15600,31200,600,1200
2025,12,Government Center,123700,123700,7300,7300
2025,12,Haymarket,45600,45600,2700,2700
2025,12,Lechmere,17200,29000,700,1200
2025,12,Magoun Square,6900,19400,300,800
2025,12,Medford/Tufts,13800,19100,600,800
2025,12,North Station,130100,130100,5200,5200
2025,12,Science Park/West End,13400,13400,500,500
2025,12,Union Square,6000,18000,200,700
